"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_c1","f_b1","f_b0","f_c0","f_a1","f_a0","t_c1","t_b1","t_b0","t_c0","t_a1","t_a0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b1","3660","748","5","null","null","0.41666666666667","12","0","1","0","0","0","0","0","748","0","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","c1","4426","366","6","null","null","0.5","12","1","0","0","0","0","0","366","0","0","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b1","4809","1133","7","null","null","0.58333333333333","12","0","1","0","0","0","0","0","1133","0","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b0","5942","516","8","null","null","0.66666666666667","12","0","0","1","0","0","0","0","0","516","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","a0","6476","2165","9","null","null","0.75","12","0","0","0","0","0","1","0","0","0","0","0","2165"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b0","8659","550","10","null","null","0.83333333333333","12","0","0","1","0","0","0","0","0","550","0","0","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","a1","9243","566","11","null","null","0.91666666666667","12","0","0","0","0","1","0","0","0","0","0","566","0"
"60","group_1","34","::1","5","","2019-11-28 11:33:56","2","mouseout","0_1_2","0_1","0_0","b1","9809","2349","12","null","null","1","12","0","1","0","0","0","0","0","2349","0","0","0","0"
"61","group_1","34","::1","5","","2019-11-28 11:34:04","3","mouseout","0_1_2","0_1","0_0","b1","1773","283","1","null","null","0.25","4","0","1","0","0","0","0","0","283","0","0","0","0"
"61","group_1","34","::1","5","","2019-11-28 11:34:04","3","mouseout","0_1_2","0_1","0_0","a1","2072","168","2","null","null","0.5","4","0","0","0","0","1","0","0","0","0","0","168","0"
"61","group_1","34","::1","5","","2019-11-28 11:34:04","3","mouseout","0_1_2","0_1","0_0","a0","2257","132","3","null","null","0.75","4","0","0","0","0","0","1","0","0","0","0","0","132"
"61","group_1","34","::1","5","","2019-11-28 11:34:04","3","mouseout","0_1_2","0_1","0_0","c0","2490","332","4","null","null","1","4","0","0","0","1","0","0","0","0","0","332","0","0"
